date_of_campaign,facebook_ad_views,facebook_ad_clicks,facebook_ad_conversions,facebook_cost_per_ad,facebook_ctr,facebook_conversion_rate,facebook_cost_per_click,adword_ad_views,adword_ad_clicks,adword_ad_conversions,adword_cost_per_ad,adword_ctr,adword_conversion_rate,adword_cost_per_click
2022-09-16,4802,192,71,188.16,4.0,36.98,0.98,8982,448,28,109.08,4.99,6.25,0.24
2022-09-17,5520,220,60,140.8,3.99,27.27,0.64,10870,542,36,88.3,4.99,6.64,0.16
2022-09-18,4969,198,68,114.84,3.98,34.34,0.58,11528,575,42,86.69,4.99,7.3,0.15
2022-09-19,5198,207,72,275.31,3.98,34.78,1.33,10567,527,46,63.04,4.99,8.73,0.12
2022-09-20,4438,177,59,261.96,3.99,33.33,1.48,7998,399,58,71.76,4.99,14.54,0.18
2022-09-21,4634,185,66,166.5,3.99,35.68,0.9,9147,456,29,133.37,4.99,6.36,0.29
2022-09-22,3262,130,48,76.7,3.99,36.92,0.59,11694,583,38,139.86,4.99,6.52,0.24
2022-09-23,4787,191,67,108.87,3.99,35.08,0.57,7395,369,29,122.44,4.99,7.86,0.33
2022-09-24,5191,207,70,287.73,3.99,33.82,1.39,10598,528,14,82.95,4.98,2.65,0.16
2022-09-25,5393,215,78,206.4,3.99,36.28,0.96,11510,574,10,92.2,4.99,1.74,0.16
2022-09-26,3623,144,50,118.08,3.97,34.72,0.82,7938,396,27,119.16,4.99,6.82,0.3
2022-09-27,4016,160,54,156.8,3.98,33.75,0.98,8636,431,20,137.48,4.99,4.64,0.32
2022-09-28,3880,155,47,127.1,3.99,30.32,0.82,9724,485,14,96.44,4.99,2.89,0.2
2022-09-29,5049,201,62,198.99,3.98,30.85,0.99,9510,474,57,126.36,4.98,12.03,0.27
2022-09-30,5944,237,76,322.32,3.99,32.07,1.36,11636,580,12,138.01,4.98,2.07,0.24
2022-10-01,4327,173,61,188.57,4.0,35.26,1.09,8649,431,21,129.88,4.98,4.87,0.3
2022-10-02,5301,212,73,252.28,4.0,34.43,1.19,10690,533,5,78.17,4.99,0.94,0.15
2022-10-03,3452,138,40,118.68,4.0,28.99,0.86,10435,520,45,60.64,4.98,8.65,0.12
2022-10-04,4183,167,61,207.08,3.99,36.53,1.24,10201,509,28,99.37,4.99,5.5,0.2
2022-10-05,5056,202,77,236.34,4.0,38.12,1.17,11179,557,20,102.51,4.98,3.59,0.18
2022-10-06,4682,187,62,115.94,3.99,33.16,0.62,11366,567,10,76.1,4.99,1.76,0.13
2022-10-07,5863,234,73,250.38,3.99,31.2,1.07,9291,463,18,82.77,4.98,3.89,0.18
2022-10-08,5255,210,69,159.6,4.0,32.86,0.76,11483,573,37,121.21,4.99,6.46,0.21
2022-10-09,4154,166,62,215.8,4.0,37.35,1.3,7213,359,48,97.63,4.98,13.37,0.27
2022-10-10,3403,136,50,126.48,4.0,36.76,0.93,10237,510,41,85.39,4.98,8.04,0.17
2022-10-11,5199,207,67,308.43,3.98,32.37,1.49,10862,542,15,109.81,4.99,2.77,0.2
2022-10-12,5101,204,79,120.36,4.0,38.73,0.59,7058,352,37,112.22,4.99,10.51,0.32
2022-10-13,4696,187,72,239.36,3.98,38.5,1.28,9930,495,17,121.55,4.98,3.43,0.25
2022-10-14,3627,145,47,169.65,4.0,32.41,1.17,11938,595,59,72.54,4.98,9.92,0.12
2022-10-15,3586,143,46,181.61,3.99,32.17,1.27,9971,497,23,119.32,4.98,4.63,0.24
2022-10-16,4648,185,61,149.85,3.98,32.97,0.81,8527,425,22,107.95,4.98,5.18,0.25
2022-10-17,4443,177,59,175.23,3.98,33.33,0.99,7122,355,31,64.61,4.98,8.73,0.18
2022-10-18,4445,177,66,230.1,3.98,37.29,1.3,10719,534,10,122.2,4.98,1.87,0.23
2022-10-19,3103,124,45,90.52,4.0,36.29,0.73,8436,421,19,90.65,4.99,4.51,0.22
2022-10-20,3253,130,49,94.9,4.0,37.69,0.73,8162,407,16,86.43,4.99,3.93,0.21
2022-10-21,5557,222,81,233.1,3.99,36.49,1.05,10300,514,17,95.85,4.99,3.31,0.19
2022-10-22,4496,179,71,182.58,3.98,39.66,1.02,10345,516,53,87.69,4.99,10.27,0.17
2022-10-23,3098,123,37,95.94,3.97,30.08,0.78,9486,473,49,87.06,4.99,10.36,0.18
2022-10-24,5200,208,74,166.4,4.0,35.58,0.8,7561,377,42,124.65,4.99,11.14,0.33
2022-10-25,4884,195,57,152.1,3.99,29.23,0.78,10981,548,8,69.96,4.99,1.46,0.13
2022-10-26,5961,238,76,302.26,3.99,31.93,1.27,8737,436,48,137.65,4.99,11.01,0.32
2022-10-27,4919,196,68,225.4,3.98,34.69,1.15,7904,394,9,104.39,4.98,2.28,0.26
2022-10-28,3877,155,56,206.15,4.0,36.13,1.33,10554,526,55,74.63,4.98,10.46,0.14
2022-10-29,3337,133,46,196.84,3.99,34.59,1.48,11490,573,57,70.5,4.99,9.95,0.12
2022-10-30,5869,234,79,226.98,3.99,33.76,0.97,8726,435,42,107.32,4.99,9.66,0.25
2022-10-31,3956,158,53,90.06,3.99,33.54,0.57,9923,495,50,110.64,4.99,10.1,0.22
2022-11-01,4704,188,72,103.4,4.0,38.3,0.55,10531,525,8,64.24,4.99,1.52,0.12
2022-11-02,3160,126,42,100.8,3.99,33.33,0.8,10906,544,41,79.44,4.99,7.54,0.15
2022-11-03,4603,184,73,263.12,4.0,39.67,1.43,7934,395,19,123.64,4.98,4.81,0.31
2022-11-04,5848,233,85,237.66,3.98,36.48,1.02,7074,353,55,63.97,4.99,15.58,0.18
2022-11-05,3397,135,49,103.95,3.97,36.3,0.77,7294,364,20,128.41,4.99,5.49,0.35
2022-11-06,4300,172,54,154.8,4.0,31.4,0.9,7020,350,22,112.65,4.99,6.29,0.32
2022-11-07,3815,152,57,167.2,3.98,37.5,1.1,10242,511,20,94.75,4.99,3.91,0.19
2022-11-08,4527,181,60,208.15,4.0,33.15,1.15,8038,401,35,87.71,4.99,8.73,0.22
2022-11-09,4919,196,62,127.4,3.98,31.63,0.65,11655,581,8,61.54,4.98,1.38,0.11
2022-11-10,4415,176,64,260.48,3.99,36.36,1.48,8109,404,10,126.02,4.98,2.48,0.31
2022-11-11,4158,166,51,172.64,3.99,30.72,1.04,10771,537,7,71.42,4.99,1.3,0.13
2022-11-12,4218,168,54,107.52,3.98,32.14,0.64,7371,367,27,84.76,4.98,7.36,0.23
2022-11-13,3400,136,47,189.04,4.0,34.56,1.39,11913,594,23,105.53,4.99,3.87,0.18
2022-11-14,3639,145,61,82.65,3.98,42.07,0.57,8174,407,37,79.68,4.98,9.09,0.2
2022-11-15,5735,229,76,322.89,3.99,33.19,1.41,8164,407,59,99.77,4.99,14.5,0.25
2022-11-16,3459,138,46,207.0,3.99,33.33,1.5,8092,403,35,124.75,4.98,8.68,0.31
2022-11-17,3954,158,58,189.6,4.0,36.71,1.2,8283,413,52,97.64,4.99,12.59,0.24
2022-11-18,3469,138,42,175.26,3.98,30.43,1.27,9011,449,51,135.92,4.98,11.36,0.3
2022-11-19,4045,161,58,135.24,3.98,36.02,0.84,7845,391,39,127.8,4.98,9.97,0.33
2022-11-20,5797,231,86,332.64,3.98,37.23,1.44,8991,448,11,86.64,4.98,2.46,0.19
2022-11-21,4693,187,63,192.61,3.98,33.69,1.03,7520,375,46,92.0,4.99,12.27,0.25
2022-11-22,5085,203,76,249.69,3.99,37.44,1.23,11466,572,44,93.87,4.99,7.69,0.16
2022-11-23,5277,211,75,299.62,4.0,35.55,1.42,11196,558,47,110.09,4.98,8.42,0.2
2022-11-24,3562,142,46,210.16,3.99,32.39,1.48,11756,586,18,82.94,4.98,3.07,0.14
2022-11-25,5485,219,75,291.27,3.99,34.25,1.33,7242,361,9,137.54,4.98,2.49,0.38
2022-11-26,4799,191,64,152.8,3.98,33.51,0.8,9800,489,32,108.69,4.99,6.54,0.22
2022-11-27,5074,202,70,296.94,3.98,34.65,1.47,11607,579,37,91.95,4.99,6.39,0.16
2022-11-28,3225,129,45,145.77,4.0,34.88,1.13,9896,493,47,111.6,4.98,9.53,0.23
2022-11-29,3797,151,55,215.93,3.98,36.42,1.43,9602,479,20,91.63,4.99,4.18,0.19
2022-11-30,5331,213,77,251.34,4.0,36.15,1.18,9273,462,35,125.42,4.98,7.58,0.27
2022-12-01,5926,237,70,191.97,4.0,29.54,0.81,8541,426,29,105.43,4.99,6.81,0.25
2022-12-02,3959,158,54,137.46,3.99,34.18,0.87,9765,487,8,63.36,4.99,1.64,0.13
2022-12-03,4504,180,55,189.0,4.0,30.56,1.05,9114,454,59,74.14,4.98,13.0,0.16
2022-12-04,3452,138,46,178.02,4.0,33.33,1.29,11491,573,6,129.2,4.99,1.05,0.23
2022-12-05,3815,152,52,124.64,3.98,34.21,0.82,11707,584,35,105.03,4.99,5.99,0.18
2022-12-06,3658,146,55,157.68,3.99,37.67,1.08,10083,503,27,136.03,4.99,5.37,0.27
2022-12-07,3546,141,49,119.85,3.98,34.75,0.85,8857,442,37,65.79,4.99,8.37,0.15
2022-12-08,4215,168,60,221.76,3.99,35.71,1.32,7769,387,54,83.62,4.98,13.95,0.22
2022-12-09,3016,120,45,116.4,3.98,37.5,0.97,8422,420,9,75.48,4.99,2.14,0.18
2022-12-10,4243,169,65,98.02,3.98,38.46,0.58,7406,369,59,104.31,4.98,15.99,0.28
2022-12-11,5205,208,72,139.36,4.0,34.62,0.67,9972,497,19,90.62,4.98,3.82,0.18
2022-12-12,5524,220,77,123.2,3.98,35.0,0.56,8872,442,12,72.58,4.98,2.71,0.16
2022-12-13,4069,162,56,162.0,3.98,34.57,1.0,9694,483,37,111.42,4.98,7.66,0.23
2022-12-14,5565,222,74,135.42,3.99,33.33,0.61,9269,462,21,102.9,4.98,4.55,0.22
2022-12-15,5146,205,67,125.05,3.98,32.68,0.61,11749,586,55,81.98,4.99,9.39,0.14
2022-12-16,4768,190,55,273.6,3.98,28.95,1.44,8181,408,16,98.38,4.99,3.92,0.24
2022-12-17,4060,162,51,221.94,3.99,31.48,1.37,8439,421,45,119.66,4.99,10.69,0.28
2022-12-18,5327,213,65,202.35,4.0,30.52,0.95,10053,501,52,76.42,4.98,10.38,0.15
2022-12-19,5544,221,83,329.29,3.99,37.56,1.49,10333,515,49,83.43,4.98,9.51,0.16
2022-12-20,3301,132,47,66.0,4.0,35.61,0.5,9897,493,10,87.69,4.98,2.03,0.18
2022-12-21,3180,127,43,140.97,3.99,33.86,1.11,9903,494,21,119.74,4.99,4.25,0.24
2022-12-22,3606,144,46,161.28,3.99,31.94,1.12,7228,360,58,127.75,4.98,16.11,0.35
2022-12-23,3699,147,51,141.12,3.97,34.69,0.96,10959,546,57,90.11,4.98,10.44,0.17
2022-12-24,3992,159,51,143.1,3.98,32.08,0.9,8893,443,20,83.73,4.98,4.51,0.19
2022-12-25,4139,165,58,158.4,3.99,35.15,0.96,8313,414,32,131.16,4.98,7.73,0.32
2022-12-26,3190,127,45,115.57,3.98,35.43,0.91,8070,402,54,139.95,4.98,13.43,0.35
2022-12-27,5300,212,69,260.76,4.0,32.55,1.23,7974,397,58,113.63,4.98,14.61,0.29
2022-12-28,3980,159,51,101.76,3.99,32.08,0.64,8738,436,39,139.2,4.99,8.94,0.32
2022-12-29,5975,239,88,167.3,4.0,36.82,0.7,10285,513,18,112.8,4.99,3.51,0.22
2022-12-30,5006,200,69,136.0,4.0,34.5,0.68,7757,387,8,118.68,4.99,2.07,0.31
2022-12-31,4184,167,54,126.92,3.99,32.34,0.76,10095,503,55,91.09,4.98,10.93,0.18
2023-01-01,3127,125,41,128.75,4.0,32.8,1.03,7320,365,30,94.64,4.99,8.22,0.26
2023-01-02,5065,202,65,123.22,3.99,32.18,0.61,9321,465,17,71.53,4.99,3.66,0.15
2023-01-03,4816,192,66,263.04,3.99,34.38,1.37,7555,377,19,125.82,4.99,5.04,0.33
2023-01-04,4758,190,70,152.0,3.99,36.84,0.8,11939,595,54,134.48,4.98,9.08,0.23
2023-01-05,5613,224,78,147.84,3.99,34.82,0.66,8386,418,25,109.88,4.98,5.98,0.26
2023-01-06,3569,142,61,167.56,3.98,42.96,1.18,11763,587,28,87.49,4.99,4.77,0.15
2023-01-07,4346,173,62,93.42,3.98,35.84,0.54,10047,501,47,72.32,4.99,9.38,0.14
2023-01-08,4895,195,69,218.4,3.98,35.38,1.12,9427,470,14,81.21,4.99,2.98,0.17
2023-01-09,5733,229,75,274.8,3.99,32.75,1.2,9004,449,59,80.43,4.99,13.14,0.18
2023-01-10,3625,145,49,102.95,4.0,33.79,0.71,8930,445,33,109.08,4.98,7.42,0.25
2023-01-11,5901,236,78,127.44,4.0,33.05,0.54,11841,590,52,135.6,4.98,8.81,0.23
2023-01-12,4686,187,54,160.82,3.99,28.88,0.86,11770,587,10,63.86,4.99,1.7,0.11
2023-01-13,3154,126,48,75.6,3.99,38.1,0.6,9163,457,7,60.08,4.99,1.53,0.13
2023-01-14,5537,221,74,137.02,3.99,33.48,0.62,10867,542,40,108.01,4.99,7.38,0.2
2023-01-15,4409,176,57,132.0,3.99,32.39,0.75,9426,470,15,82.72,4.99,3.19,0.18
2023-01-16,3784,151,53,120.8,3.99,35.1,0.8,10793,538,25,130.44,4.98,4.65,0.24
2023-01-17,3245,129,47,132.87,3.98,36.43,1.03,9513,474,26,86.18,4.98,5.49,0.18
2023-01-18,4500,180,61,212.4,4.0,33.89,1.18,10803,539,41,83.18,4.99,7.61,0.15
2023-01-19,4705,188,65,204.92,4.0,34.57,1.09,9327,465,35,81.56,4.99,7.53,0.18
2023-01-20,5806,232,84,150.8,4.0,36.21,0.65,7617,380,53,71.59,4.99,13.95,0.19
2023-01-21,3537,141,47,94.47,3.99,33.33,0.67,9165,457,39,106.52,4.99,8.53,0.23
2023-01-22,4890,195,69,269.1,3.99,35.38,1.38,10308,514,11,73.46,4.99,2.14,0.14
2023-01-23,4841,193,59,204.58,3.99,30.57,1.06,7992,398,27,93.97,4.98,6.78,0.24
2023-01-24,3920,156,48,213.72,3.98,30.77,1.37,8377,418,56,96.88,4.99,13.4,0.23
2023-01-25,5455,218,79,189.66,4.0,36.24,0.87,11381,568,12,61.64,4.99,2.11,0.11
2023-01-26,3524,140,42,155.4,3.97,30.0,1.11,10174,507,14,61.34,4.98,2.76,0.12
2023-01-27,5875,235,83,239.7,4.0,35.32,1.02,11782,588,53,101.62,4.99,9.01,0.17
2023-01-28,4529,181,62,148.42,4.0,34.25,0.82,8305,414,30,115.68,4.98,7.25,0.28
2023-01-29,5950,238,81,230.86,4.0,34.03,0.97,11833,590,58,135.37,4.99,9.83,0.23
2023-01-30,3035,121,38,121.0,3.99,31.4,1.0,10078,502,45,74.33,4.98,8.96,0.15
2023-01-31,3684,147,55,102.9,3.99,37.41,0.7,9686,483,11,68.26,4.99,2.28,0.14
2023-02-01,3019,120,50,98.4,3.97,41.67,0.82,9983,498,56,64.17,4.99,11.24,0.13
2023-02-02,5368,214,76,276.06,3.99,35.51,1.29,9523,475,37,94.88,4.99,7.79,0.2
2023-02-03,5559,222,79,315.24,3.99,35.59,1.42,10582,528,28,109.85,4.99,5.3,0.21
2023-02-04,3399,135,43,116.1,3.97,31.85,0.86,8485,423,8,127.24,4.99,1.89,0.3
2023-02-05,5701,228,73,184.68,4.0,32.02,0.81,9100,454,17,114.61,4.99,3.74,0.25
2023-02-06,3971,158,55,110.6,3.98,34.81,0.7,11581,578,48,76.67,4.99,8.3,0.13
2023-02-07,4906,196,63,231.28,4.0,32.14,1.18,10715,534,18,96.94,4.98,3.37,0.18
2023-02-08,5518,220,68,180.4,3.99,30.91,0.82,9001,449,52,132.83,4.99,11.58,0.3
2023-02-09,4166,166,62,247.34,3.98,37.35,1.49,8387,418,31,86.14,4.98,7.42,0.21
2023-02-10,4115,164,61,136.12,3.99,37.2,0.83,10183,508,17,99.9,4.99,3.35,0.2
2023-02-11,3833,153,49,136.17,3.99,32.03,0.89,8030,400,41,136.69,4.98,10.25,0.34
2023-02-12,4823,192,68,211.2,3.98,35.42,1.1,8765,437,44,118.78,4.99,10.07,0.27
2023-02-13,5774,230,85,299.0,3.98,36.96,1.3,11763,587,28,119.82,4.99,4.77,0.2
2023-02-14,4982,199,70,193.03,3.99,35.18,0.97,8220,410,49,80.19,4.99,11.95,0.2
2023-02-15,3853,154,47,141.68,4.0,30.52,0.92,11930,595,14,93.18,4.99,2.35,0.16
2023-02-16,3050,122,41,183.0,4.0,33.61,1.5,11971,597,32,66.59,4.99,5.36,0.11
2023-02-17,3574,142,56,72.42,3.97,39.44,0.51,10806,539,12,108.52,4.99,2.23,0.2
2023-02-18,4148,165,58,231.0,3.98,35.15,1.4,9414,469,48,68.3,4.98,10.23,0.15
2023-02-19,5197,207,75,134.55,3.98,36.23,0.65,11345,566,41,126.87,4.99,7.24,0.22
2023-02-20,5361,214,76,276.06,3.99,35.51,1.29,8618,430,35,125.16,4.99,8.14,0.29
2023-02-21,5617,224,74,250.88,3.99,33.04,1.12,8263,412,56,102.69,4.99,13.59,0.25
2023-02-22,5352,214,71,179.76,4.0,33.18,0.84,7871,392,58,71.29,4.98,14.8,0.18
2023-02-23,4715,188,67,257.56,3.99,35.64,1.37,7834,390,53,62.05,4.98,13.59,0.16
2023-02-24,3681,147,55,74.97,3.99,37.41,0.51,9822,490,16,123.74,4.99,3.27,0.25
2023-02-25,3837,153,59,111.69,3.99,38.56,0.73,7918,395,57,108.01,4.99,14.43,0.27
2023-02-26,4077,163,52,174.41,4.0,31.9,1.07,8724,435,36,116.87,4.99,8.28,0.27
2023-02-27,5491,219,78,186.15,3.99,35.62,0.85,9413,469,8,84.3,4.98,1.71,0.18
2023-02-28,5660,226,85,250.86,3.99,37.61,1.11,8313,414,36,100.76,4.98,8.7,0.24
2023-03-01,5311,212,69,110.24,3.99,32.55,0.52,11498,573,48,119.77,4.98,8.38,0.21
2023-03-02,4595,183,71,113.46,3.98,38.8,0.62,9105,454,43,97.01,4.99,9.47,0.21
2023-03-03,3004,120,50,75.6,3.99,41.67,0.63,9568,477,13,108.11,4.99,2.73,0.23
2023-03-04,4126,165,70,113.85,4.0,42.42,0.69,8138,406,18,123.18,4.99,4.43,0.3
2023-03-05,4219,168,59,161.28,3.98,35.12,0.96,7209,359,23,77.22,4.98,6.41,0.22
2023-03-06,3773,150,53,187.5,3.98,35.33,1.25,8064,402,30,65.27,4.99,7.46,0.16
2023-03-07,3876,155,58,218.55,4.0,37.42,1.41,11911,594,21,102.55,4.99,3.54,0.17
2023-03-08,3991,159,59,213.06,3.98,37.11,1.34,9220,460,52,64.97,4.99,11.3,0.14
2023-03-09,5931,237,88,165.9,4.0,37.13,0.7,7233,360,38,121.32,4.98,10.56,0.34
2023-03-10,3046,121,46,113.74,3.97,38.02,0.94,7792,388,8,117.54,4.98,2.06,0.3
2023-03-11,5914,236,82,165.2,3.99,34.75,0.7,10110,504,17,130.54,4.99,3.37,0.26
2023-03-12,5870,234,88,177.84,3.99,37.61,0.76,9166,457,54,111.16,4.99,11.82,0.24
2023-03-13,5983,239,78,239.0,3.99,32.64,1.0,7334,366,23,65.38,4.99,6.28,0.18
2023-03-14,5703,228,79,129.96,4.0,34.65,0.57,8359,417,19,80.25,4.99,4.56,0.19
2023-03-15,3268,130,53,93.6,3.98,40.77,0.72,8214,409,11,124.63,4.98,2.69,0.3
2023-03-16,3369,134,40,192.96,3.98,29.85,1.44,11419,569,24,73.37,4.98,4.22,0.13
2023-03-17,3635,145,47,140.65,3.99,32.41,0.97,7283,363,35,115.88,4.98,9.64,0.32
2023-03-18,4129,165,61,156.75,4.0,36.97,0.95,7212,359,8,122.42,4.98,2.23,0.34
2023-03-19,4693,187,67,95.37,3.98,35.83,0.51,8658,432,21,86.41,4.99,4.86,0.2
2023-03-20,4682,187,61,140.25,3.99,32.62,0.75,11078,552,40,85.78,4.98,7.25,0.16
2023-03-21,3656,146,49,200.02,3.99,33.56,1.37,11847,591,54,104.62,4.99,9.14,0.18
2023-03-22,3119,124,37,81.84,3.98,29.84,0.66,8417,420,35,128.9,4.99,8.33,0.31
2023-03-23,3830,153,58,140.76,3.99,37.91,0.92,9386,468,8,77.91,4.99,1.71,0.17
2023-03-24,4810,192,65,97.92,3.99,33.85,0.51,8794,438,49,135.3,4.98,11.19,0.31
2023-03-25,4081,163,66,159.74,3.99,40.49,0.98,7104,354,11,107.93,4.98,3.11,0.3
2023-03-26,4974,198,69,102.96,3.98,34.85,0.52,11865,592,56,139.37,4.99,9.46,0.24
2023-03-27,4369,174,59,229.68,3.98,33.91,1.32,10893,543,54,67.17,4.98,9.94,0.12
2023-03-28,3740,149,50,196.68,3.98,33.56,1.32,10845,541,24,70.12,4.99,4.44,0.13
2023-03-29,3116,124,42,159.96,3.98,33.87,1.29,10690,533,30,126.13,4.99,5.63,0.24
2023-03-30,4853,194,68,151.32,4.0,35.05,0.78,10292,513,18,129.18,4.98,3.51,0.25
2023-03-31,5838,233,94,312.22,3.99,40.34,1.34,7378,368,9,95.64,4.99,2.45,0.26
2023-04-01,4150,166,56,172.64,4.0,33.73,1.04,10293,513,51,117.13,4.98,9.94,0.23
2023-04-02,4931,197,67,171.39,4.0,34.01,0.87,10329,515,47,129.4,4.99,9.13,0.25
2023-04-03,4012,160,56,180.8,3.99,35.0,1.13,11808,589,51,63.45,4.99,8.66,0.11
2023-04-04,4664,186,70,94.86,3.99,37.63,0.51,10438,520,14,105.92,4.98,2.69,0.2
2023-04-05,4081,163,49,104.32,3.99,30.06,0.64,7224,360,13,128.28,4.98,3.61,0.36
2023-04-06,3633,145,53,179.8,3.99,36.55,1.24,7737,386,14,91.85,4.99,3.63,0.24
2023-04-07,3512,140,44,103.6,3.99,31.43,0.74,7235,361,26,84.19,4.99,7.2,0.23
2023-04-08,5849,233,84,256.3,3.98,36.05,1.1,11278,562,56,123.66,4.98,9.96,0.22
2023-04-09,4119,164,54,145.96,3.98,32.93,0.89,7711,384,16,86.86,4.98,4.17,0.23
2023-04-10,4141,165,46,222.75,3.98,27.88,1.35,8888,443,20,60.25,4.98,4.51,0.14
2023-04-11,3559,142,51,205.9,3.99,35.92,1.45,11718,584,37,136.77,4.98,6.34,0.23
2023-04-12,3487,139,50,191.82,3.99,35.97,1.38,8259,412,21,107.37,4.99,5.1,0.26
2023-04-13,3896,155,51,119.35,3.98,32.9,0.77,7748,386,51,125.56,4.98,13.21,0.33
2023-04-14,4212,168,55,115.92,3.99,32.74,0.69,10986,548,43,126.02,4.99,7.85,0.23
2023-04-15,3703,148,45,143.56,4.0,30.41,0.97,10551,526,20,65.31,4.99,3.8,0.12
2023-04-16,4470,178,66,90.78,3.98,37.08,0.51,7509,374,10,73.67,4.98,2.67,0.2
2023-04-17,3580,143,54,75.79,3.99,37.76,0.53,8823,440,45,84.89,4.99,10.23,0.19
2023-04-18,5837,233,77,244.65,3.99,33.05,1.05,11880,592,49,85.66,4.98,8.28,0.14
2023-04-19,5908,236,79,240.72,3.99,33.47,1.02,9941,496,44,112.7,4.99,8.87,0.23
2023-04-20,5294,211,73,314.39,3.99,34.6,1.49,11232,560,26,109.85,4.99,4.64,0.2
2023-04-21,3153,126,55,88.2,4.0,43.65,0.7,9134,455,20,99.57,4.98,4.4,0.22
2023-04-22,4679,187,68,142.12,4.0,36.36,0.76,8777,438,35,76.9,4.99,7.99,0.18
2023-04-23,3996,159,50,96.99,3.98,31.45,0.61,8222,410,28,90.56,4.99,6.83,0.22
2023-04-24,5744,229,81,325.18,3.99,35.37,1.42,10667,532,22,103.49,4.99,4.14,0.19
2023-04-25,4243,169,52,216.32,3.98,30.77,1.28,8777,438,50,97.44,4.99,11.42,0.22
2023-04-26,4092,163,60,215.16,3.98,36.81,1.32,8304,414,47,70.18,4.99,11.35,0.17
2023-04-27,4008,160,64,224.0,3.99,40.0,1.4,11859,591,17,111.96,4.98,2.88,0.19
2023-04-28,5141,205,80,209.1,3.99,39.02,1.02,7701,384,34,65.84,4.99,8.85,0.17
2023-04-29,4773,190,70,180.5,3.98,36.84,0.95,9989,498,32,90.26,4.99,6.43,0.18
2023-04-30,3957,158,52,131.14,3.99,32.91,0.83,7151,356,57,116.8,4.98,16.01,0.33
2023-05-01,3452,138,41,150.42,4.0,29.71,1.09,8325,415,42,61.6,4.98,10.12,0.15
2023-05-02,4227,169,52,160.55,4.0,30.77,0.95,8301,414,32,105.6,4.99,7.73,0.26
2023-05-03,5959,238,69,226.1,3.99,28.99,0.95,10722,535,34,86.76,4.99,6.36,0.16
2023-05-04,5265,210,76,302.4,3.99,36.19,1.44,8711,434,46,60.71,4.98,10.6,0.14
2023-05-05,5521,220,76,325.6,3.98,34.55,1.48,7806,389,35,75.23,4.98,9.0,0.19
2023-05-06,5479,219,81,284.7,4.0,36.99,1.3,11330,565,20,135.28,4.99,3.54,0.24
2023-05-07,5388,215,82,270.9,3.99,38.14,1.26,9722,485,45,101.69,4.99,9.28,0.21
2023-05-08,3550,142,50,167.56,4.0,35.21,1.18,11656,581,56,139.78,4.98,9.64,0.24
2023-05-09,4635,185,65,123.95,3.99,35.14,0.67,8325,415,20,101.99,4.98,4.82,0.25
2023-05-10,4312,172,57,96.32,3.99,33.14,0.56,11133,555,46,103.51,4.99,8.29,0.19
2023-05-11,4757,190,64,226.1,3.99,33.68,1.19,8159,407,29,91.35,4.99,7.13,0.22
2023-05-12,3356,134,50,164.82,3.99,37.31,1.23,9869,492,31,84.8,4.99,6.3,0.17
2023-05-13,5070,202,69,111.1,3.98,34.16,0.55,11516,574,18,80.12,4.98,3.14,0.14
2023-05-14,4785,191,65,273.13,3.99,34.03,1.43,8242,411,14,87.47,4.99,3.41,0.21
2023-05-15,5569,222,77,130.98,3.99,34.68,0.59,7347,366,43,96.79,4.98,11.75,0.26
2023-05-16,4781,191,71,150.89,3.99,37.17,0.79,8831,440,49,75.36,4.98,11.14,0.17
2023-05-17,5849,233,78,272.61,3.98,33.48,1.17,8569,427,6,77.99,4.98,1.41,0.18
2023-05-18,5809,232,80,155.44,3.99,34.48,0.67,10935,545,37,81.72,4.98,6.79,0.15
2023-05-19,5489,219,77,122.64,3.99,35.16,0.56,8918,445,7,95.94,4.99,1.57,0.22
2023-05-20,4631,185,70,153.55,3.99,37.84,0.83,10232,510,16,112.23,4.98,3.14,0.22
2023-05-21,5816,232,80,294.64,3.99,34.48,1.27,10758,536,25,128.49,4.98,4.66,0.24
2023-05-22,4015,160,52,145.6,3.99,32.5,0.91,9355,466,44,82.97,4.98,9.44,0.18
2023-05-23,4348,173,58,198.95,3.98,33.53,1.15,8397,419,33,74.7,4.99,7.88,0.18
2023-05-24,3515,140,54,151.2,3.98,38.57,1.08,9780,488,17,90.31,4.99,3.48,0.19
2023-05-25,5839,233,91,121.16,3.99,39.06,0.52,8824,440,8,131.55,4.99,1.82,0.3
2023-05-26,3335,133,39,198.17,3.99,29.32,1.49,9491,473,31,60.79,4.98,6.55,0.13
2023-05-27,4782,191,61,103.14,3.99,31.94,0.54,11060,552,8,114.23,4.99,1.45,0.21
2023-05-28,5305,212,73,311.64,4.0,34.43,1.47,7404,369,41,98.17,4.98,11.11,0.27
2023-05-29,3496,139,49,145.95,3.98,35.25,1.05,8721,435,14,72.88,4.99,3.22,0.17
2023-05-30,3895,155,58,226.3,3.98,37.42,1.46,9825,490,47,85.68,4.99,9.59,0.17
2023-05-31,5207,208,68,126.88,3.99,32.69,0.61,10845,541,35,78.0,4.99,6.47,0.14
2023-06-01,3851,154,48,152.46,4.0,31.17,0.99,11210,559,12,130.23,4.99,2.15,0.23
2023-06-02,4687,187,66,125.29,3.99,35.29,0.67,10192,508,55,98.55,4.98,10.83,0.19
2023-06-03,4931,197,67,108.35,4.0,34.01,0.55,7064,352,55,105.05,4.98,15.62,0.3
